InvoiceNo,InvoiceValue,TotalQuantity,NumItems,ValueBin
536556,101.55,71,8,£100-200
536557,537.38,199,65,£500-1K
536558,99.75,5,1,£50-100
536559,215.14999999999998,129,9,£200-500
536560,799.4,256,13,£500-1K
536561,322.40000000000003,140,15,£200-500
536562,308.65000000000003,99,18,£200-500
536563,172.54,165,9,£100-200
536564,51.4,12,2,£50-100
536565,6.7,2,2,<£50
536566,116.25,93,6,£100-200
536567,251.40000000000003,132,7,£200-500
536568,5.04,12,1,<£50
536569,357.95,155,67,£200-500
536570,304.34000000000003,86,5,£200-500
536571,294.62,284,18,£200-500
536572,442.34999999999997,301,21,£200-500
536573,143.12,136,4,£100-200
536574,17.85,3,1,<£50
536575,1552.98,858,8,>£1K
536576,2558.42,1122,16,>£1K
536577,497.0,388,4,£200-500
536578,279.6,104,8,£200-500
536579,315.96000000000004,276,2,£200-500
536580,97.19999999999999,66,6,£50-100
536581,330.0,200,1,£200-500
536582,304.04,184,17,£200-500
536583,198.0,120,1,£100-200
536584,1132.8000000000002,384,1,>£1K
536585,19.9,2,1,<£50
536586,344.2,44,7,£200-500
536587,311.81,313,22,£200-500
536588,277.05,103,11,£200-500
536590,205.86,74,14,£200-500
536591,198.32,93,40,£100-200
536592,6915.65,1478,592,>£1K
536593,81.75,19,5,£50-100
536594,79.5,34,5,£50-100
536595,349.15,108,11,£200-500
536596,38.09,9,6,<£50
536597,102.78999999999999,71,28,£100-200
536598,160.6,76,4,£100-200
536599,306.4,80,6,£200-500
536600,251.62,56,12,£200-500
536601,22.200000000000003,12,2,<£50
536602,163.76,64,12,£100-200
536603,22.200000000000003,12,2,<£50
536604,184.5,114,9,£100-200
536605,272.65000000000003,107,15,£200-500
536607,303.97,93,18,£200-500
536608,38.1,30,3,<£50
536609,244.46,88,16,£200-500
536610,22.200000000000003,12,2,<£50
536611,259.65000000000003,153,14,£200-500
536612,206.76,82,15,£200-500
536613,208.97,197,17,£200-500
536614,22.200000000000003,12,2,<£50
536615,286.92,108,12,£200-500
536616,244.08,72,1,£200-500
536617,1095.12,644,11,>£1K
536618,780.12,600,21,£500-1K
536619,97.19999999999999,48,2,£50-100
536620,485.25,741,23,£200-500
536621,350.06,298,10,£200-500
536623,768.38,666,48,£500-1K
536624,610.64,228,22,£500-1K
536626,12.600000000000001,6,1,<£50
536627,306.2,64,14,£200-500
536628,230.56,86,16,£200-500
536629,22.200000000000003,12,2,<£50
536630,244.46,88,16,£200-500
536631,22.200000000000003,12,2,<£50
536632,312.8,170,21,£200-500
536633,204.15,105,18,£200-500
536634,193.78,159,14,£100-200
536635,572.38,246,20,£500-1K
536636,106.2,36,1,£100-200
536637,235.16,165,67,£200-500
536638,1056.63,619,63,>£1K
536639,288.5,106,16,£200-500
536640,45.85,11,11,<£50
536641,4.25,1,1,<£50
536643,223.7,74,27,£200-500
536663,299.40000000000003,156,6,£200-500
536667,362.5,214,16,£200-500
536670,58.0,40,1,£50-100
536671,136.2,132,5,£100-200
536672,127.2,40,4,£100-200
536673,339.84,504,8,£200-500
536674,127.08,122,21,£100-200
536676,207.5,54,9,£200-500
536681,113.92,46,13,£100-200
536685,380.46,108,17,£200-500
536688,22.200000000000003,12,2,<£50
536690,331.26,92,17,£200-500
536693,22.200000000000003,12,2,<£50
536698,326.0,144,16,£200-500
536707,199.65,41,13,£100-200
536732,354.54,274,26,£200-500
536733,329.65000000000003,255,14,£200-500
536735,211.2,128,1,£200-500
536736,824.88,1296,5,£500-1K
536738,98.18,42,7,£50-100
536739,201.75,31,12,£200-500
536740,92.75,67,7,£50-100
536741,202.12,130,15,£200-500
536742,198.08,103,50,£100-200
536743,261.76,195,35,£200-500
536744,379.75,137,10,£200-500
536745,341.9,126,10,£200-500
536746,248.1,92,13,£200-500
536747,100.2,75,12,£100-200
536748,116.0,26,5,£100-200
536749,353.19,106,65,£200-500
536750,434.8,118,19,£200-500
536751,22.200000000000003,12,2,<£50
536752,390.66,104,19,£200-500
536753,22.200000000000003,12,2,<£50
536754,210.24,142,50,£200-500
536755,54.25,15,15,£50-100
536756,66.65,23,19,£50-100
536759,311.25,113,17,£200-500
536761,98.9,36,7,£50-100
536762,307.68,231,20,£200-500
536763,452.52,331,12,£200-500
536769,668.4,375,31,£500-1K
536771,118.38,66,7,£100-200
536777,138.1,97,5,£100-200
536778,193.23,125,14,£100-200
536779,15.0,1,1,<£50
536780,12.8,4,4,<£50
536781,50.400000000000006,24,1,£50-100
536782,517.95,244,27,£500-1K
536783,4076.48,2909,38,>£1K
536784,2170.9,1330,25,>£1K
536785,2730.96,1008,6,>£1K
536786,324.0,144,2,£200-500
536787,192.46,76,13,£100-200
536788,75.0,60,1,£50-100
536789,22.200000000000003,12,2,<£50
536790,532.01,141,17,£500-1K
536791,44.400000000000006,24,2,<£50
536792,30.0,24,1,<£50
536793,170.7,70,11,£100-200
536794,322.8,96,4,£200-500
536795,333.72,180,7,£200-500
536796,375.65,176,121,£200-500
536797,130.8,56,6,£100-200
536798,717.1600000000001,472,31,£500-1K
536799,183.3,122,18,£100-200
536800,236.97,190,19,£200-500
536801,252.3,134,14,£200-500
536802,197.3,50,8,£100-200
536804,1714.25,531,25,>£1K
536805,406.56,384,20,£200-500
536806,45.12,84,5,<£50
536808,247.8,64,12,£200-500
536809,1003.2,1824,1,>£1K
536810,303.96,204,1,£200-500
536811,527.85,69,1,£500-1K
536813,189.8,230,17,£100-200
536819,308.28000000000003,190,17,£200-500
536821,143.45000000000002,80,23,£100-200
536823,50.550000000000004,13,3,£50-100
536824,408.0,160,1,£200-500
536830,2002.4,4280,2,>£1K
536831,569.4,260,4,£500-1K
536832,164.8,64,8,£100-200
536833,438.1,208,29,£200-500
536834,35.400000000000006,12,1,<£50
536835,295.0,1,1,£200-500
536836,263.3,133,27,£200-500
536837,308.68,174,27,£200-500
536838,37.2,96,3,<£50
536839,623.73,879,16,£500-1K
536841,393.42,174,22,£200-500
536842,263.62,130,11,£200-500
536843,34.9,14,2,<£50
536844,189.3,38,3,£100-200
536845,127.55,45,29,£100-200
536846,413.1,134,76,£200-500
536847,215.57999999999998,222,9,£200-500
536848,534.0,280,3,£500-1K
536849,397.5,106,3,£200-500
536851,1368.4,360,15,>£1K
536856,754.87,343,39,£500-1K
536857,128.03,54,17,£100-200
536859,294.25,186,24,£200-500
536860,254.39999999999998,108,10,£200-500
536862,1334.13,150,81,>£1K
536863,123.07,80,48,£100-200
536864,636.6800000000001,66,47,£500-1K
536865,2396.96,317,140,>£1K
536866,8.47,1,1,<£50
536874,232.26,92,69,£200-500
536876,7257.08,1641,593,>£1K
536883,5.46,13,1,<£50
536884,39.75,5,3,<£50
536920,69.3,58,10,£50-100
536938,1680.88,464,14,>£1K
536943,187.51,170,28,£100-200
536945,309.54,179,66,£200-500
536946,841.94,363,29,£500-1K
536947,686.4,439,38,£500-1K
536954,425.0,100,1,£200-500
536956,304.95000000000005,93,15,£200-500
536957,791.7,234,13,£500-1K
536960,225.65,125,14,£200-500
536968,534.0,168,2,£500-1K
536969,528.0,192,1,£500-1K
536970,1314.0,120,1,>£1K
536972,230.25,35,14,£200-500
536973,736.28,356,31,£500-1K
536976,149.8,76,19,£100-200
536977,108.78,60,14,£100-200
536980,591.47,239,12,£500-1K
536981,101.14,39,24,£100-200
536982,10661.69,1834,145,>£1K
536984,339.54,136,29,£200-500
536985,334.3,42,11,£200-500
536986,124.14,104,7,£100-200
536987,272.01,124,53,£200-500
536988,254.39000000000001,100,38,£200-500
536989,115.7,26,22,£100-200
536991,26.4,32,8,<£50
536992,91.8,36,1,£50-100
536993,110.35000000000001,39,34,£100-200
536994,98.5,18,3,£50-100
537023,122.15,64,25,£100-200
537025,76.83,48,15,£50-100
537030,246.3,142,13,£200-500
537031,135.0,108,6,£100-200
537034,2355.1800000000003,1338,73,>£1K
537035,11.6,8,1,<£50
537036,135.32999999999998,75,31,£100-200
537037,256.90000000000003,92,11,£200-500
537038,535.75,125,7,£500-1K
537040,734.3999999999999,192,2,£500-1K
537041,155.64000000000001,52,26,£100-200
537042,238.11,83,52,£200-500
537044,431.45,93,19,£200-500
537045,126.42999999999999,46,35,£100-200
537046,277.45,55,14,£200-500
537047,326.6,181,41,£200-500
537048,5.9,2,2,<£50
537049,277.65000000000003,97,14,£200-500
537050,555.84,437,51,£500-1K
537051,350.68,158,42,£200-500
537052,552.24,232,5,£500-1K
537053,275.8,124,3,£200-500
537054,152.05,82,41,£100-200
537055,273.29,107,15,£200-500
537057,274.67,129,51,£200-500
537058,351.43,197,12,£200-500
537059,127.98,59,24,£100-200
537067,27.45,8,6,<£50
537077,179.64000000000001,163,26,£100-200
537111,180.44,84,23,£100-200
537117,204.0,48,1,£200-500
537126,475.86,212,118,£200-500
537127,408.0,160,2,£200-500
537128,211.74,135,23,£200-500
537129,301.12,232,17,£200-500
537130,114.65,28,19,£100-200
537131,547.1,435,38,£500-1K
537133,206.23000000000002,73,55,£200-500
537134,163.49,107,9,£100-200
537135,722.36,471,117,£500-1K
537136,273.76,152,37,£200-500
537137,535.6,392,66,£500-1K
537138,273.3,204,33,£200-500
537139,33.15,25,3,<£50
537140,70.42,54,39,£50-100
537141,517.65,165,44,£500-1K
537142,41.45,16,15,<£50
537144,343.28000000000003,211,105,£200-500
537153,623.75,413,45,£500-1K
537154,1021.45,355,64,>£1K
537155,75.64,66,33,£50-100
537156,251.25,87,19,£200-500
537158,184.8,86,10,£100-200
537159,292.95,60,28,£200-500
537160,283.15,128,26,£200-500
537163,384.71999999999997,276,21,£200-500
537176,131.5,70,21,£100-200
537179,806.28,284,13,£500-1K
537192,211.8,105,57,£200-500
537193,460.6,232,37,£200-500
537194,271.2,80,1,£200-500
537195,650.64,310,33,£500-1K
537196,411.42,159,86,£200-500
537199,156.74,115,38,£100-200
537200,112.9,47,29,£100-200
537202,269.7,112,50,£200-500
537204,198.43,293,32,£100-200
537205,165.86,116,11,£100-200
537206,85.55000000000001,25,4,£50-100
537207,188.77,40,23,£100-200
537208,297.92,149,66,£200-500
537209,192.68,83,42,£100-200
537210,209.84,101,16,£200-500
537211,355.75,145,16,£200-500
537213,8.65,7,6,<£50
537214,1668.2,2048,13,>£1K
537215,358.55999999999995,108,7,£200-500
537216,569.5,240,18,£500-1K
537217,167.2,16,4,£100-200
537219,423.52,252,69,£200-500
537220,3.35,1,1,<£50
537221,37.35,14,7,<£50
537222,133.48,57,26,£100-200
537223,164.70000000000002,46,9,£100-200
537224,1415.97,700,169,>£1K
537225,496.48,316,64,£200-500
537226,113.48,86,9,£100-200
537227,922.4000000000001,700,20,£500-1K
537228,25.200000000000003,12,1,<£50
537229,17.4,12,1,<£50
537230,2.95,1,1,<£50
537231,308.8,112,18,£200-500
537233,353.0,148,9,£200-500
537235,2567.6400000000003,1464,5,>£1K
537236,375.69000000000005,91,10,£200-500
537237,7335.45,1608,597,>£1K
537238,164.2,88,15,£100-200
537239,210.19,67,13,£200-500
537240,7660.4800000000005,1811,568,>£1K
537241,364.92,172,15,£200-500
537242,412.22,282,29,£200-500
537243,50.400000000000006,24,2,£50-100
537244,300.66,349,11,£200-500
537245,58.2,48,3,£50-100
537247,223.68,192,3,£200-500
537248,56.25,39,4,£50-100
537249,33.0,20,1,<£50
537252,26.349999999999998,31,1,<£50
537253,351.47,178,24,£200-500
537254,382.69,210,59,£200-500
537255,303.5,163,20,£200-500
537256,2263.8,796,11,>£1K
537257,142.5,58,9,£100-200
537258,142.25,92,10,£100-200
537262,611.51,266,56,£500-1K
537265,270.72,242,49,£200-500
537298,153.5,54,9,£100-200
537301,102.66,72,15,£100-200
537312,311.24,254,9,£200-500
537313,123.15,21,5,£100-200
537332,322.8,120,12,£200-500
537334,430.73,146,44,£200-500
537335,98.7,32,23,£50-100
537346,673.37,503,34,£500-1K
537350,419.06,350,12,£200-500
537351,116.08,98,32,£100-200
537354,133.07,85,38,£100-200
537359,184.10000000000002,72,10,£100-200
537360,76.32000000000001,72,1,£50-100
537362,392.62,530,60,£200-500
537365,449.95000000000005,201,21,£200-500
537366,308.05,106,12,£200-500
537367,25.200000000000003,12,1,<£50
537369,252.8,104,58,£200-500
537370,379.7,168,52,£200-500
537371,185.97,119,14,£100-200
537372,198.35,73,22,£100-200
537374,381.64,275,87,£200-500
537375,358.82,223,49,£200-500
537376,480.68,278,16,£200-500
537377,270.52,116,14,£200-500
537380,100.80000000000001,48,2,£100-200
537381,511.56,372,24,£500-1K
537382,375.47,197,58,£200-500
537384,122.7,56,5,£100-200
537385,125.10000000000001,37,13,£100-200
537387,222.18,84,14,£200-500
537388,391.5,210,18,£200-500
537389,149.0,60,19,£100-200
537390,123.24,40,8,£100-200
537391,554.66,257,48,£500-1K
537392,166.15,80,24,£100-200
537393,2415.04,972,34,>£1K
537394,81.17999999999999,54,5,£50-100
537395,150.22,80,53,£100-200
537396,292.84000000000003,64,30,£200-500
537397,244.20000000000002,164,10,£200-500
537399,427.74,204,60,£200-500
537400,422.81,261,50,£200-500
537403,30.45,21,11,<£50
537404,56.85,38,11,£50-100
537405,406.69,132,46,£200-500
537407,192.7,34,6,£100-200
537409,406.16,247,16,£200-500
537410,151.20000000000002,72,1,£100-200
537411,9.65,4,3,<£50
537412,177.60000000000002,96,1,£100-200
537415,227.4,63,9,£200-500
537418,137.11,66,36,£100-200
537419,510.95,209,14,£500-1K
537420,335.3,184,18,£200-500
537421,292.54,131,51,£200-500
537422,217.54999999999998,144,33,£200-500
537423,166.0,104,6,£100-200
537424,92.55000000000001,57,3,£50-100
537428,450.92,210,22,£200-500
537429,82.12,119,21,£50-100
537433,417.62,146,4,£200-500
537434,8223.4,1869,675,>£1K
537435,221.5,82,14,£200-500
537440,214.32,67,16,£200-500
537441,540.0,256,41,£500-1K
537442,5.07,2,2,<£50
537446,569.03,201,28,£500-1K
537447,151.3,54,7,£100-200
537448,39.599999999999994,6,1,<£50
537456,1989.2399999999998,780,2,>£1K
537457,1644.94,914,19,>£1K
537458,293.45000000000005,101,13,£200-500
537459,178.4,112,11,£100-200
537460,326.4,128,1,£200-500
537461,510.0,120,1,£500-1K
537462,172.65,89,12,£100-200
537464,618.07,234,28,£500-1K
537465,454.6,218,22,£200-500
537467,118.25,51,18,£100-200
537469,102.0,24,1,£100-200
537470,111.25,21,5,£100-200
537471,17.85,3,1,<£50
537472,111.54,126,6,£100-200
537476,957.5,550,3,£500-1K
537484,1830.02,680,28,>£1K
537489,511.79999999999995,396,21,£500-1K
537509,532.8000000000001,288,2,£500-1K
537523,159.55,61,9,£100-200
537534,924.59,1,1,£500-1K
537538,311.65,131,12,£200-500
537567,181.12,125,30,£100-200
537592,327.40000000000003,268,5,£200-500
537593,571.0,300,13,£500-1K
537595,118.32,44,24,£100-200
537598,319.0,80,14,£200-500
537599,19.9,2,1,<£50
537601,108.78,62,9,£100-200
537603,373.49,213,15,£200-500
537604,1381.92,516,45,>£1K
537605,166.74,52,12,£100-200
537606,631.65,279,31,£500-1K
537607,156.19,74,16,£100-200
537608,444.42,235,47,£200-500
537609,617.12,236,12,£500-1K
537612,322.3,122,10,£200-500
537614,322.8,137,30,£200-500
537615,139.0,20,5,£100-200
537616,15.9,2,1,<£50
537617,177.26,76,8,£100-200
537618,2022.16,956,16,>£1K
537619,230.39999999999998,136,7,£200-500
537620,97.8,54,6,£50-100
537621,19.5,10,4,<£50
537622,165.94,114,23,£100-200
537623,383.93,199,44,£200-500
537624,306.84000000000003,171,59,£200-500
537625,87.5,36,6,£50-100
537627,713.88,476,12,£500-1K
537628,378.75,189,16,£200-500
537629,356.87,191,18,£200-500
537631,17.4,12,1,<£50
537632,13541.33,1,1,>£1K
537633,24.9,5,5,<£50
537634,231.9,62,18,£200-500
537635,68.1,30,2,£50-100
537636,172.0,32,3,£100-200
537637,15.7,4,4,<£50
537638,6293.86,1448,601,>£1K
537640,11540.34,2200,148,>£1K
537641,1240.19,138,79,>£1K
537642,2164.51,256,122,>£1K
537643,2416.59,269,123,>£1K
537645,2448.29,254,107,>£1K
537646,406.6,133,80,£200-500
537648,402.61,271,22,£200-500
537649,112.6,36,7,£100-200
537650,289.35,124,13,£200-500
537653,268.73,84,37,£200-500
537654,135.05,46,21,£100-200
537655,111.15,57,8,£100-200
537657,9639.12,2790,5,>£1K
537658,395.76,120,3,£200-500
537659,15885.49,3689,9,>£1K
537664,46.8,24,1,<£50
537665,139.86,101,6,£100-200
537666,5058.04,1144,536,>£1K
537667,326.4,128,1,£200-500
537668,48.800000000000004,20,2,<£50
537669,164.25,105,9,£100-200
537670,514.39,151,10,£500-1K
537671,328.45,145,15,£200-500
537672,328.01,182,18,£200-500
537674,319.18,250,19,£200-500
537675,5.04,12,1,<£50
537678,356.91,133,9,£200-500
537679,24.59,24,5,<£50
537680,253.24,173,13,£200-500
537681,304.2,175,7,£200-500
537682,99.6,72,4,£50-100
537683,365.4,240,20,£200-500
537685,204.87,171,19,£200-500
537686,225.0,148,3,£200-500
537688,702.1,270,19,£500-1K
537689,301.52,288,17,£200-500
537690,329.36,220,15,£200-500
537691,310.57,163,20,£200-500
537692,671.21,434,50,£500-1K
537694,158.25,63,14,£100-200
537698,468.68,452,4,£200-500
537700,309.0,68,3,£200-500
537707,303.86,176,14,£200-500
537738,287.08,144,17,£200-500
537743,151.95,65,9,£100-200
537751,38.8,16,2,<£50
537754,157.6,53,22,£100-200
537755,411.44,198,9,£200-500
537757,314.1,86,8,£200-500
537758,105.72,118,10,£100-200
537759,203.64000000000001,108,12,£200-500
537760,307.82000000000005,106,4,£200-500
537761,19.799999999999997,12,1,<£50
537762,569.4,275,27,£500-1K
537764,145.93,62,45,£100-200
537765,215.88,81,38,£200-500
537766,651.6,288,4,£500-1K
537767,350.4,32,1,£200-500
537768,39.0,20,2,<£50
537769,205.64000000000001,94,53,£200-500
537770,295.66,176,15,£200-500
537771,450.92,204,9,£200-500
537772,316.46,172,66,£200-500
537773,382.27,146,69,£200-500
537774,281.0,196,4,£200-500
537775,910.14,525,45,£500-1K
537780,127.05000000000001,51,6,£100-200
537781,513.6,291,161,£500-1K
537789,623.4200000000001,214,14,£500-1K
537791,147.39999999999998,12,2,£100-200
537792,148.23000000000002,70,21,£100-200
537793,2746.75,1655,29,>£1K
537794,414.43,189,60,£200-500
537795,312.90000000000003,92,15,£200-500
537796,405.16,248,6,£200-500
537799,142.95,55,11,£100-200
537800,69.78999999999999,75,10,£50-100
537801,403.25,43,5,£200-500
537802,692.94,190,30,£500-1K
537803,89.5,10,2,£50-100
537804,130.64,116,13,£100-200
537806,372.96999999999997,105,10,£200-500
537808,251.09,145,17,£200-500
537809,118.3,26,7,£100-200
537810,23.85,3,1,<£50
537811,268.86,74,2,£200-500
537813,376.30000000000007,116,7,£200-500
537815,300.7,158,15,£200-500
537816,129.75,29,3,£100-200
537817,168.6,76,7,£100-200
537819,397.6,286,17,£200-500
537822,566.95,365,30,£500-1K
537823,6073.71,1484,591,>£1K
537825,222.5,118,28,£200-500
537826,272.34000000000003,104,21,£200-500
537828,478.89,331,30,£200-500
537829,525.8,260,19,£500-1K
537830,197.8,67,15,£100-200
537831,106.77000000000001,39,11,£100-200
537833,590.0,200,1,£500-1K
537836,103.67999999999999,144,1,£100-200
537837,313.72,303,14,£200-500
537839,12.87,9,9,<£50
537840,305.45,103,15,£200-500
537841,320.0,1000,1,£200-500
537842,159.51,75,16,£100-200
537843,171.15,59,9,£100-200
537844,190.34,94,38,£100-200
537845,71.4,12,4,£50-100
537846,201.60000000000002,130,5,£200-500
537847,180.4,64,6,£100-200
537848,180.0,144,1,£100-200
537849,75.0,60,1,£50-100
537850,318.84,316,25,£200-500
537851,356.4,264,7,£200-500
537852,2671.27,1665,86,>£1K
537854,154.8,120,5,£100-200
537855,263.25,95,32,£200-500
537858,24.95,15,11,<£50
537859,670.55,96,26,£500-1K
537861,120.65,47,6,£100-200
537862,111.53,71,7,£100-200
537863,5.95,1,1,<£50
537864,336.94,238,14,£200-500
537865,237.95,125,22,£200-500
537866,676.1,274,9,£500-1K
537867,307.25,75,15,£200-500
537871,167.09,123,25,£100-200
537879,213.3,56,8,£200-500
537880,365.8,172,16,£200-500
537881,956.5,238,12,£500-1K
537882,141.95,45,4,£100-200
537883,63.0,60,5,£50-100
537884,525.93,111,6,£500-1K
537885,258.75,69,16,£200-500
537886,209.3,110,10,£200-500
537887,1485.72,532,10,>£1K
537888,524.35,440,35,£500-1K
537889,670.48,260,27,£500-1K
537890,100.19999999999999,36,6,£100-200
537891,88.8,36,5,£50-100
537895,429.24,92,5,£200-500
537896,258.95,157,14,£200-500
537898,364.4,87,20,£200-500
537900,382.66,231,24,£200-500
537901,309.4,68,3,£200-500
537955,371.7,89,50,£200-500
537963,308.28000000000003,149,14,£200-500
537981,1335.2,2154,4,>£1K
538000,101.9,17,2,£100-200
538005,832.8,120,3,£500-1K
538006,163.2,64,2,£100-200
538007,174.4,92,11,£100-200
538010,226.79999999999998,40,5,£200-500
538011,257.22,184,32,£200-500
538012,224.38,48,29,£200-500
538013,114.79,95,13,£100-200
538014,656.7,150,13,£500-1K
538015,224.07,131,21,£200-500
538032,174.4,58,10,£100-200
538035,372.09,231,74,£200-500
538037,112.6,60,5,£100-200
538040,325.76,217,60,£200-500
538044,21.299999999999997,16,3,<£50
538048,181.0,52,2,£100-200
538049,18.4,8,5,<£50
538050,15.9,2,1,<£50
538051,205.35,154,29,£200-500
538053,1571.32,675,30,>£1K
538056,249.65,118,24,£200-500
538057,316.82,210,11,£200-500
538060,5.85,3,1,<£50
538063,1914.2400000000002,96,1,>£1K
538064,111.75,78,24,£100-200
538065,428.6,208,23,£200-500
538067,165.65,66,26,£100-200
538068,300.91999999999996,499,12,£200-500
538069,414.88,239,66,£200-500
538070,103.7,24,5,£100-200
538071,7268.65,1642,651,>£1K
538073,16.21,16,10,<£50
538076,272.36,141,14,£200-500
538077,686.15,394,48,£500-1K
538078,374.25,173,26,£200-500
538079,394.18,190,17,£200-500
538080,251.0,110,9,£200-500
538086,378.53000000000003,203,38,£200-500
538087,60.0,16,4,£50-100
538094,186.03,85,11,£100-200
538096,3.7199999999999998,3,3,<£50
538097,315.0,196,15,£200-500
538101,230.10000000000002,78,1,£200-500
538104,190.35,129,26,£100-200
538106,72.82000000000001,57,13,£50-100
538107,155.0,80,9,£100-200
538108,249.86,222,17,£200-500
538113,289.85,95,16,£200-500
538116,685.0,240,18,£500-1K
538117,60.0,36,3,£50-100
538120,144.5,150,2,£100-200
538125,30.0,16,2,<£50
538126,218.4,78,12,£200-500
538127,7.5,2,2,<£50
538145,383.07,117,23,£200-500
538146,402.32,168,21,£200-500
538147,15.0,1,1,<£50
538148,2215.27,225,111,>£1K
538149,2446.16,239,113,>£1K
538151,441.6,92,5,£200-500
538153,3091.82,353,121,>£1K
538154,294.01,32,21,£200-500
538155,182.01999999999998,68,34,£100-200
538156,620.35,202,37,£500-1K
538157,119.65,57,12,£100-200
538163,257.95,116,46,£200-500
538165,185.82,154,3,£100-200
538166,119.45,48,17,£100-200
538167,298.95,125,25,£200-500
538168,318.7,167,30,£200-500
538169,93.45,33,13,£50-100
538170,317.59000000000003,133,25,£200-500
538171,300.64,194,65,£200-500
538172,370.80000000000007,212,11,£200-500
538176,402.0,152,4,£200-500
538177,6272.01,1306,534,>£1K
538178,157.9,82,6,£100-200
538179,17.700000000000003,6,1,<£50
538180,369.09999999999997,178,10,£200-500
538181,151.5,58,7,£100-200
538182,115.08000000000001,40,10,£100-200
538183,651.83,279,32,£500-1K
538184,458.92,314,26,£200-500
538185,188.98,90,6,£100-200
538186,201.75,77,11,£200-500
538187,218.10000000000002,68,10,£200-500
538188,2.95,1,1,<£50
538190,127.9,56,10,£100-200
538191,5375.28,1559,16,>£1K
538192,135.0,20,1,£100-200
538193,67.5,10,1,£50-100
538194,0.95,1,1,<£50
538195,337.5,50,2,£200-500
538197,124.1,55,21,£100-200
538198,919.8,659,87,£500-1K
538199,182.25,110,29,£100-200
538200,95.25,57,15,£50-100
538201,203.1,87,41,£200-500
538202,274.73,187,19,£200-500
538203,186.60000000000002,116,8,£100-200
538204,428.76,396,4,£200-500
538205,336.15999999999997,272,62,£200-500
538206,236.92,44,15,£200-500
538207,271.47,260,55,£200-500
538208,111.8,34,26,£100-200
538209,185.06,104,41,£100-200
538210,523.86,302,32,£500-1K
538211,239.70000000000002,60,8,£200-500
538216,254.4,40,5,£200-500
538240,247.56,124,7,£200-500
538248,139.68,73,38,£100-200
538250,132.65,59,33,£100-200
538252,219.1,60,8,£200-500
538260,300.65000000000003,105,16,£200-500
538263,228.12,132,14,£200-500
538268,116.89999999999999,52,7,£100-200
538279,686.16,472,7,£500-1K
538280,612.1,418,11,£500-1K
538283,10.29,7,4,<£50
538288,1.9,2,1,<£50
538296,309.40000000000003,178,18,£200-500
538306,202.5,30,1,£200-500
538307,213.26,81,39,£200-500
538308,363.24,268,16,£200-500
538309,114.45000000000002,55,3,£100-200
538310,25.799999999999997,20,2,<£50
538312,272.82,177,46,£200-500
538313,1136.3200000000002,322,39,>£1K
538327,401.92,226,22,£200-500
